abate	to lessen in intensity or degree
aberrant	deviation from the norm
abeyance	a state of temporary disuse or suspension
abjure	to renounce or reject solemnly; to recant; to avoid
abrogate	to repeal; to revoke
abscond	leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft
abstemious	eating and drinking in moderation
accolade	an expression of praise
acerbic 	having a sour or bitter taste or character; sharp; biting
acrimonious	angry and bitter; using sharp language
acumen	keen, accurate judgement or insight
admonish	to reprove; to express warning or disapproval
adroit	adept; dexterous
adulation	excessive praise; intense adoration
adulterate	to reduce purity by combining with inferior ingredients
adumbrate	to foreshadow vaguely or intimate; to suggest or outline sketchily; to obscure or overshadow
aesthetic	dealing with, appreciative of, or responsive to art or the beautiful
aggrandize	to increase in intensity, power, influence, or prestige
alacrity	eager and enthusiastic willingness
alchemy	a medieval science aimed to transmute metals into gold
allay	diminish or put at rest (fear, suspicion, or worry)
alloy	to commingle; to debase by mixing with something inferior; unalloyed means pure
amalgamate	to combine several elements into a whole
ameliorate	to make better or more tolerable
amenable	agreeable; responsive to suggestion
anachronism	something or someone out of place in terms of historical or chronological context
anachronistic	out of place in terms of historical or chronological context
anathema	a solemn or ecclesiastical (religious) curse; a cursed or thoroughly loathed person or thing
anodyne	soothing; something that assuages or allays pain or comforts
anomaly	deviation from the normal order, form, or rule; abnormality
antedate	to come before
antediluvian	of or belonging to a time before the biblical flood; extremely old fashioned
antipathy	aversion; dislike
antithetical	diametrically opposed; as in antithesis
apocryphal	of dubious authenticity or origin; spurious
apogee	farthest or highest point; culmination; zenith
apostate	one who abandons long-held religious or political convictions
apotheosis	deification; supreme example
apposite	appropriate; pertinent; relevant; suitable
apprise	to give notice to; to inform; notify
approbation	an expression of approval or praise
appropriate	to take for one's own use; to confiscate
arabesque	a complex, ornate design; also a dance position
arcane	mysterious; esoteric
archaic	outdated; associated with an earlier, perhaps more primitive, time
arduous	strenuous, taxing; requiring significant effort
arrest	to suspend; to engage; holding one's attention: as in arrested adolescence, an arresting portrait
artless	completely without guile; unsophisticated
ascetic	one who practices rigid self-denial, esp. as an act of religious devotion
asperity	severity, rigor, roughness, harshness; acrimony, irritability
aspersion	an act of defamation or maligning; slander
assay	to put to a test
asseverate	to aver, allege, or assert
assiduous	diligent, hard-working, sedulous
assuage	to ease or lessen; to appease or pacify
astringent	having a tightening effect on living tissue; harsh; severe; something with a tightening effect on tissue
astute	having or showing shrewdness and perspicacity
atrophy	to waste away or deteriorate
attenuate	to weaken or make thinner
audacious	daring and fearless; recklessly bold
augury	omen, portent
august	majestic, venerable
auspices	protection or support
auspicious	favorable
austere	without adornment; bare, severely simple; ascetic
avarice	greed, especially for wealth
aver	to state as fact; to confirm or support
axiomatic	taken as given; possessing self-evident truth
axiom	a universally recognized principle
baleful	sinister; ominous
barren	bleak and lifeless; land that is unable to produce vegetation
beatify	to bless, make happy, or ascribe a virtue to
behemoth	something enormous; a gigantic creature
beleaguer	to beset; to besiege
belie	to give a false impression of
bellicose	belligerent, pugnacious, warlike
benignant	kindly and benevolent
bent	leaning, inclination, proclivity, tendency
beset	trouble or threaten persistently
blunt	1. slow or deficient in feelings, insensitive; 2. having an edge or point that is not sharp
boisterous	loud; noisy; lacking restraint
bolster	to provide support or reinforcement
bombastic	pompous; grandiloquent
boor	a rude or insensitive person
broach	to bring up; to announce; to begin to talk about
brook	to tolerate; to endure; to countenance
bucolic	rustic and pastoral; characteristic of rural areas and their inhabitants
burgeon	to grow rapidly or flourish
burnish	to make smooth; to rub to a shine
byzantine	labyrinthine; complex
cabal	a scheme or plot; a group of plotters
cachinnate	to laugh loudly
cacophony	harsh, jarring, discordant sound; dissonance
cajole	to inveigle; to coax through flattery
calumniate	to slander
canon	an established set of principles or code of laws, often religious in nature
canonical	following or in agreement with accepted, traditional standards
capricious	inclined to change one's mind impulsively; erratic, unpredictable;
captious	calculated to confuse or entrap in argument
cardinal	major, as in cardinal sin
castigate	to severely criticize or punish
catalyst	a substance that accelerates the rate of a chemical reaction without itself changing; a person or thing that causes change
caustic	burning or stinging, causing corrosion
cavil	to find fault without good reason
celerity	speed, alacrity; think accelerate
censure	to criticize severely; to officially rebuke
chary	wary; cautious; sparing
chasten	to restrain or correct
chauvinist	a blindly devoted patriot
chicanery	trickery or subterfuge
chimera	an illusion; originally, an imaginary fire-breathing monster
churlish	vulgar; difficult and intractable
coalesce	to come together or unite
coda	a concluding section of a musical or literary piece
cogent	appealing forcibly to the mind or reason; convincing
color	to change as if by dyeing;  to distort, gloss, or affect
commensurate	matching; corresponding in degree, size, or amount
complacency	self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies
complaisance	the willingness to comply with the wishes of others
comportment	behavior; bearing
conciliate	stop (someone) from being angry or discontented; placate; pacify
concomitant	naturally accompanying or associated
connoisseur	an informed and astute judge in matters of taste; expert
consequential	1. logically following; 2. pompous, self-important
consummate	complete (a transaction or attempt); make perfect
contemptuous	manifesting, feeling, or expressing deep hatred or disapproval
contentious	argumentative; quarrelsome; causing controversy or disagreement
contiguous	sharing a border; touching; adjacent
contrite	regretful; penitent; seeking forgiveness
contumacious	insubordinate, rebellious; contumely means insult, scorn, aspersion
convention	a generally agreed-upon practice or attitude
convoluted	complex or complicated
corrigible	capable of being set right; correctable
cosset	to coddle
countenance	to approve of or tolerate
cow	to cause someone to submit to one's wishes by intimidation
cozen	to deceive, beguile, or hoodwink
craven	contemptibly fainthearted; lacking any courage
credulous	tending to believe too readily; gullible
crestfallen	dejected; disappointed
culpable	deserving blame
curmudgeon	an irritable, ill-tempered person
cursory	hasty; done with little attention
cynicism	an attitude or quality of belief that all people are motivated by selfishness
damp	to diminish the intensity or check the vibration of a sound
daunt	to cow or dismay; to make (someone) feel intimidated or apprehensive
dearth	smallness of quantity or number; scarcity; a lack
debacle	1. a tumultuous breakup of ice in a river; 2 a great disaster;
decorous	correct; formal; marked by decorum
decorum	polite or appropriate conduct or behavior
deleterious	causing harm or damage
delineate	describe or portray something accurately
demur	to question or oppose
denigrate	to belittle; to defame
denizen	inhabitant; one who frequents a place
denouement	the outcome of a complex sequence of events
deposition	official testimony
deprave	to make someone immoral or wicked
depravity	a corrupt act or practice
deprecate	to disparage or put down
derision	scorn, ridicule, contemptuous treatment
derivative	unoriginal; obtained from another source
descry	to discriminate or discern
desecrate	to violate the sanctity of
desiccate	to dry out or dehydrate; to make dry or dull
desuetude	disuse
desultory	random; disconnected
detraction	slandering, verbal attack; aspersion
detrimental	obviously harmful, damaging	
diaphanous	transparent; gauzy; translucent
diatribe	a harsh denunciation
didactic	intended to teach or instruct
die	a tool used for shaping, as in a tool-and-die shop
diffident	reserved, shy, unassuming; lacking in self-confidence
doggerel	trivial or poorly constructed verse; limerick
dilatory	causing delay
dilettante	one with an amateurish or superficial interest in the arts or a branch of knowledge
din	loud, sustained sounds
dirge	a song or poem of grief
disabuse	persuade (someone) that an idea or belief is mistaken
discomfit	to embarrass or perplex; make (someone) feel uneasy or embarrassed
discomposure	the state of feeling disturbed or agitated
discordant	conflicting; dissonant or harsh in sound
discreet	intentionally unobtrusive
discretion	cautious or reserve in speech; ability to make responsible decisions
discursive	digressive; passing from one topic to another
disinterested	free of bias or self-interest; impartial
disparage	to slight or belittle
disparate	fundamentally distinct or dissimilar
dissemble	to disguise or conceal; to mislead
distention	the state or act of extending or being swollen out of shape
divulge	to disclose something secret 
dogmatic	stubbornly opinionated
dormant	inactive; in abeyance
dross	slag; worthless matter; impurity
dulcet	melodious; pleasant-sounding
dynamo	generator; forceful, energetic person
ebullience	the quality of lively or enthusiastic expression of thoughts and feelings
eccentric	departing from norms or conventions
eclectic	composed of elements drawn from various sources
edifying	enlightening
effluvium	an unpleasant or harmful odor, secretion, or discharge
effrontery	extreme boldness; presumptuousness
effusive	gushing; excessively demonstrative
egress	a path to go out; the right to go out
elegy	a mournful poem, especially one lamenting the dead
eloquent	well-spoken; expressive
emollient	soothing, especially to the skin; making less harsh
empirical	based on observation or experiment
eschew	to avoid; to shun
encomium	glowing and enthusiastic praise; panegyric, tribute, eulogy
endemic	characteristic of or often found in a particular locality, region, or people
enervate	to weaken; to reduce in vitality
engender	to cause; to give rise to
enigmatic	mysterious; obscure; difficult to understand
ennui	dissatisfaction or restlessness resulting from boredom or apathy
